;tipo de incendio;año;mes;anho;Región de Arica;Región de Tarapacá;Región de Antofagasta;Región de Atacama;Región de Coquimbo;Región de Valparaíso;Región Metropolitana;Región del Libertador Bernardo O'higgins;Región del Maule;Región del Ñuble;Región del Bío Bío;Región de la Araucanía;Región de los Ríos;Región de los Lagos;Región de Aysén del General Carlos Ibáñez del Campo;Región de Magallanes y de la Antártica Chilena;Chile
0;Estructural 10-0;2015;enero;1;9;23;27;10;16;42;230;75;82;30;99;88;42;99;7;20;899
1;Vehículos 10-1;2015;enero;1;3;6;5;4;12;24;167;21;21;10;18;19;9;17;1;4;341
2;Pastizales y/o Basura 10-2;2015;enero;1;18;24;47;59;44;520;965;631;695;263;846;756;247;281;5;18;5419
3;Rescate de Emergencia 10-3;2015;enero;1;4;12;15;5;11;67;235;22;59;20;91;45;33;50;7;2;678
4;Rescate Vehicular 10-4;2015;enero;1;14;35;33;54;42;160;344;90;106;52;157;105;46;76;7;9;1330
5;Haz-Mat 10-5;2015;enero;1;0;1;3;1;1;4;10;4;4;1;11;5;3;26;1;2;77
6;Gas 10-6;2015;enero;1;2;8;6;11;6;50;133;18;12;9;27;19;1;26;2;9;339
7;Eléctrico 10-7;2015;enero;1;0;0;1;3;2;10;58;3;1;0;8;8;2;7;0;0;103
8;No Clasificado 10-8;2015;enero;1;2;1;2;1;10;65;43;47;33;24;101;38;2;31;1;2;403
9;Otros Servicios 10-9;2015;enero;1;7;19;30;59;19;113;171;197;95;68;108;149;102;328;8;33;1506
10;Escombros 10-10;2015;enero;1;5;3;1;1;3;13;19;17;12;2;7;16;1;7;0;7;114
11;Servicio Aéreo 10-11;2015;enero;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
12;Apoyo a otros Cuerpos 10-12;2015;enero;1;0;0;1;0;0;30;144;130;75;11;50;49;10;5;0;0;505
13;Atentados Terroristas 10-13;2015;enero;1;0;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;5
14;Accidentes Aéreos 10-14;2015;enero;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
15;Simulacro 10-15;2015;enero;1;0;0;0;2;0;3;7;2;0;0;7;0;1;8;0;0;30
16;Túnel 10-16;2015;enero;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
17;Falsa Alarma 6-16;2015;enero;1;1;2;1;0;3;10;34;6;5;8;10;14;4;1;0;0;99
18;Inundación 10-17;2015;enero;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
19;Emergencia Marítima Portuaria 10-18;2015;enero;1;0;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;7
20;Incendio 10-30;2015;enero;1;0;2;1;0;0;1;20;0;0;0;1;0;0;2;0;0;27
21;Emergencia Metro de Santiago 10-19;2015;enero;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Estructural 10-0;2015;febrero;2;2;29;12;11;15;71;150;55;56;35;95;102;38;77;5;15;768
23;Vehículos 10-1;2015;febrero;2;4;8;9;8;10;25;147;18;29;6;23;31;5;15;0;8;346
24;Pastizales y/o Basura 10-2;2015;febrero;2;14;14;18;38;51;400;697;502;640;281;849;1173;358;610;5;8;5658
25;Rescate de Emergencia 10-3;2015;febrero;2;1;9;22;8;11;79;171;37;61;19;75;40;19;34;5;0;591
26;Rescate Vehicular 10-4;2015;febrero;2;8;23;14;43;38;177;336;121;104;59;154;104;41;64;5;13;1304
27;Haz-Mat 10-5;2015;febrero;2;0;0;2;2;2;8;6;4;1;1;10;3;2;11;0;1;53
28;Gas 10-6;2015;febrero;2;0;7;8;3;17;48;109;20;22;2;28;30;7;17;0;1;319
29;Eléctrico 10-7;2015;febrero;2;1;0;0;3;3;14;64;6;5;1;9;4;2;3;0;2;117
30;No Clasificado 10-8;2015;febrero;2;2;1;2;1;5;63;26;35;18;24;92;46;9;13;1;1;339
31;Otros Servicios 10-9;2015;febrero;2;4;9;27;60;21;139;158;146;83;40;59;146;67;314;20;24;1317
32;Escombros 10-10;2015;febrero;2;0;2;0;1;2;6;12;9;7;8;19;10;2;13;1;3;95
33;Servicio Aéreo 10-11;2015;febrero;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;4
34;Apoyo a otros Cuerpos 10-12;2015;febrero;2;0;4;0;2;3;33;77;64;64;32;96;49;15;33;1;0;473
35;Atentados Terroristas 10-13;2015;febrero;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
36;Accidentes Aéreos 10-14;2015;febrero;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
37;Simulacro 10-15;2015;febrero;2;0;0;0;2;0;2;2;1;0;0;0;2;2;3;0;0;14
38;Túnel 10-16;2015;febrero;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
39;Falsa Alarma 6-16;2015;febrero;2;0;0;0;0;3;13;26;13;6;10;7;16;4;4;0;3;105
40;Inundación 10-17;2015;febrero;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Emergencia Marítima Portuaria 10-18;2015;febrero;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
42;Incendio 10-30;2015;febrero;2;0;4;0;0;0;0;15;0;0;0;3;2;1;12;0;0;37
43;Emergencia Metro de Santiago 10-19;2015;febrero;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Estructural 10-0;2015;marzo;3;7;28;29;22;12;66;188;73;77;26;70;98;50;91;5;15;857
45;Vehículos 10-1;2015;marzo;3;4;9;10;7;15;20;83;18;15;11;22;19;4;9;0;9;255
46;Pastizales y/o Basura 10-2;2015;marzo;3;26;20;26;35;23;375;489;451;505;210;647;975;365;416;3;9;4575
47;Rescate de Emergencia 10-3;2015;marzo;3;6;4;12;79;18;70;228;43;38;12;80;36;20;31;1;0;678
48;Rescate Vehicular 10-4;2015;marzo;3;14;15;27;47;17;128;365;92;101;46;157;76;33;74;3;7;1202
49;Haz-Mat 10-5;2015;marzo;3;0;1;4;0;0;3;19;3;2;0;10;8;6;14;3;0;73
50;Gas 10-6;2015;marzo;3;1;10;12;14;7;49;127;22;32;12;45;22;21;28;0;5;407
51;Eléctrico 10-7;2015;marzo;3;2;6;15;2;3;15;61;9;7;3;10;10;5;4;0;0;152
52;No Clasificado 10-8;2015;marzo;3;2;10;3;14;6;78;31;16;20;5;126;36;3;9;4;2;365
53;Otros Servicios 10-9;2015;marzo;3;1;11;94;25;33;170;126;96;71;30;48;155;139;276;12;25;1312
54;Escombros 10-10;2015;marzo;3;0;1;0;1;1;11;11;6;11;1;4;14;7;9;0;1;78
55;Servicio Aéreo 10-11;2015;marzo;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2
56;Apoyo a otros Cuerpos 10-12;2015;marzo;3;0;1;6;7;4;46;71;42;34;12;44;51;31;22;0;0;371
57;Atentados Terroristas 10-13;2015;marzo;3;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2
58;Accidentes Aéreos 10-14;2015;marzo;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
59;Simulacro 10-15;2015;marzo;3;0;0;0;1;0;6;3;1;0;1;2;1;7;5;0;1;28
60;Túnel 10-16;2015;marzo;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
61;Falsa Alarma 6-16;2015;marzo;3;0;0;0;1;1;8;19;1;7;6;1;12;4;4;0;1;65
62;Inundación 10-17;2015;marzo;3;0;0;0;1;4;0;0;0;0;0;7;0;0;0;0;0;12
63;Emergencia Marítima Portuaria 10-18;2015;marzo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
64;Incendio 10-30;2015;marzo;3;0;0;1;0;0;1;15;0;0;0;0;1;0;11;0;0;29
65;Emergencia Metro de Santiago 10-19;2015;marzo;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;Estructural 10-0;2015;abril;4;11;19;26;13;18;90;149;88;58;21;116;111;34;106;7;17;884
67;Vehículos 10-1;2015;abril;4;2;4;4;6;12;24;61;13;16;5;18;33;6;14;1;6;225
68;Pastizales y/o Basura 10-2;2015;abril;4;15;11;26;18;31;320;505;321;308;215;373;354;26;45;1;7;2576
69;Rescate de Emergencia 10-3;2015;abril;4;7;10;6;5;16;65;241;34;33;17;77;21;11;33;1;1;578
70;Rescate Vehicular 10-4;2015;abril;4;13;21;20;29;29;125;395;85;109;51;145;71;24;57;1;10;1185
71;Haz-Mat 10-5;2015;abril;4;3;4;4;3;1;3;11;3;1;0;14;5;0;11;0;2;65
72;Gas 10-6;2015;abril;4;3;4;14;15;8;47;109;25;15;4;49;16;8;30;0;7;354
73;Eléctrico 10-7;2015;abril;4;0;1;1;9;2;7;43;1;8;3;11;10;4;9;0;1;110
74;No Clasificado 10-8;2015;abril;4;0;6;2;33;2;47;27;25;27;8;148;28;11;9;0;7;380
75;Otros Servicios 10-9;2015;abril;4;5;9;21;46;15;198;82;141;72;44;25;136;72;420;6;35;1327
76;Escombros 10-10;2015;abril;4;0;0;0;1;0;5;11;3;3;0;10;2;2;4;0;0;41
77;Servicio Aéreo 10-11;2015;abril;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
78;Apoyo a otros Cuerpos 10-12;2015;abril;4;0;0;0;8;4;24;36;25;19;6;13;8;1;5;0;0;149
79;Atentados Terroristas 10-13;2015;abril;4;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;0;5
80;Accidentes Aéreos 10-14;2015;abril;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
81;Simulacro 10-15;2015;abril;4;1;1;1;0;0;5;2;0;3;2;13;6;7;8;0;2;51
82;Túnel 10-16;2015;abril;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;Falsa Alarma 6-16;2015;abril;4;0;2;1;0;1;7;26;4;3;6;3;14;5;6;0;2;80
84;Inundación 10-17;2015;abril;4;0;0;0;0;0;0;0;2;0;2;5;0;0;1;0;0;10
85;Emergencia Marítima Portuaria 10-18;2015;abril;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
86;Incendio 10-30;2015;abril;4;0;2;0;0;0;1;15;0;0;0;5;0;0;7;0;0;30
87;Emergencia Metro de Santiago 10-19;2015;abril;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;Estructural 10-0;2015;mayo;5;10;19;24;26;18;91;197;105;99;46;141;167;59;146;5;18;1171
89;Vehículos 10-1;2015;mayo;5;5;4;2;4;5;26;54;17;16;6;19;20;1;6;1;6;192
90;Pastizales y/o Basura 10-2;2015;mayo;5;4;13;15;35;52;361;453;308;116;72;98;44;5;47;0;5;1628
91;Rescate de Emergencia 10-3;2015;mayo;5;4;12;5;4;5;62;276;32;27;18;86;27;6;27;3;1;595
92;Rescate Vehicular 10-4;2015;mayo;5;11;36;26;25;35;138;368;85;108;59;215;93;34;85;1;8;1327
93;Haz-Mat 10-5;2015;mayo;5;2;1;1;0;0;8;12;4;2;2;23;3;0;15;2;2;77
94;Gas 10-6;2015;mayo;5;7;20;10;12;19;55;116;31;21;8;38;13;4;27;0;5;386
95;Eléctrico 10-7;2015;mayo;5;1;2;2;2;0;8;53;10;5;1;16;9;4;9;0;3;125
96;No Clasificado 10-8;2015;mayo;5;0;2;3;7;3;46;40;25;44;9;125;36;18;10;6;3;377
97;Otros Servicios 10-9;2015;mayo;5;9;24;30;45;38;156;109;148;34;29;45;170;74;435;12;32;1390
98;Escombros 10-10;2015;mayo;5;0;1;0;0;3;12;7;3;4;0;0;7;2;3;0;2;44
99;Servicio Aéreo 10-11;2015;mayo;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
100;Apoyo a otros Cuerpos 10-12;2015;mayo;5;0;0;0;3;2;21;44;21;2;3;9;3;7;2;0;0;117
101;Atentados Terroristas 10-13;2015;mayo;5;0;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;7
102;Accidentes Aéreos 10-14;2015;mayo;5;0;0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;6
103;Simulacro 10-15;2015;mayo;5;3;0;0;3;1;14;11;2;4;1;7;12;7;2;2;3;72
104;Túnel 10-16;2015;mayo;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
105;Falsa Alarma 6-16;2015;mayo;5;0;3;0;0;3;2;26;2;1;8;1;5;2;5;0;2;60
106;Inundación 10-17;2015;mayo;5;0;0;0;0;0;0;2;0;0;0;7;0;0;5;0;0;14
107;Emergencia Marítima Portuaria 10-18;2015;mayo;5;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3
108;Incendio 10-30;2015;mayo;5;0;0;0;0;0;1;12;0;0;0;1;5;0;7;0;0;26
109;Emergencia Metro de Santiago 10-19;2015;mayo;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;Estructural 10-0;2015;Junio;6;4;19;27;18;17;84;208;102;97;59;141;179;66;175;11;21;1228
111;Vehículos 10-1;2015;Junio;6;2;6;13;6;3;24;70;10;10;5;14;14;1;10;1;3;192
112;Pastizales y/o Basura 10-2;2015;Junio;6;12;13;42;19;33;336;470;200;44;2;22;6;4;41;1;1;1246
113;Rescate de Emergencia 10-3;2015;Junio;6;2;4;9;5;8;55;240;28;32;10;58;42;14;36;6;5;554
114;Rescate Vehicular 10-4;2015;Junio;6;19;27;41;28;23;141;359;81;101;39;149;76;21;68;2;9;1184
115;Haz-Mat 10-5;2015;Junio;6;0;0;5;0;0;2;17;3;1;1;28;5;2;12;0;1;77
116;Gas 10-6;2015;Junio;6;4;15;14;8;14;60;149;38;18;8;62;35;14;31;1;6;477
117;Eléctrico 10-7;2015;Junio;6;0;6;3;4;1;6;71;0;2;3;10;8;4;7;0;1;126
118;No Clasificado 10-8;2015;Junio;6;1;5;10;5;4;45;40;14;22;8;144;35;19;13;4;8;377
119;Otros Servicios 10-9;2015;Junio;6;7;11;36;57;27;158;114;159;37;39;41;119;103;305;9;37;1259
120;Escombros 10-10;2015;Junio;6;0;1;0;4;7;22;8;3;4;2;4;6;1;8;0;0;70
121;Servicio Aéreo 10-11;2015;Junio;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
122;Apoyo a otros Cuerpos 10-12;2015;Junio;6;0;1;0;2;0;16;41;9;5;4;11;5;2;2;0;0;98
123;Atentados Terroristas 10-13;2015;Junio;6;0;0;0;0;0;4;1;0;2;0;1;3;0;0;0;0;11
124;Accidentes Aéreos 10-14;2015;Junio;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
125;Simulacro 10-15;2015;Junio;6;0;1;2;2;0;4;10;2;0;1;6;10;14;11;2;3;68
126;Túnel 10-16;2015;Junio;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
127;Falsa Alarma 6-16;2015;Junio;6;0;1;0;1;2;7;16;1;5;5;5;3;5;1;0;0;52
128;Inundación 10-17;2015;Junio;6;0;0;0;0;0;0;0;0;0;2;26;1;4;0;0;0;33
129;Emergencia Marítima Portuaria 10-18;2015;Junio;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;Incendio 10-30;2015;Junio;6;0;1;1;0;0;1;14;0;0;0;2;0;0;8;0;0;27
131;Emergencia Metro de Santiago 10-19;2015;Junio;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;Estructural 10-0;2015;Julio;7;11;43;37;19;17;90;206;116;123;54;176;161;58;182;17;20;1330
133;Vehículos 10-1;2015;Julio;7;7;5;12;4;6;27;65;12;12;6;12;17;2;13;3;6;209
134;Pastizales y/o Basura 10-2;2015;Julio;7;9;15;37;17;41;233;333;115;24;5;12;5;3;39;8;3;899
135;Rescate de Emergencia 10-3;2015;Julio;7;6;6;16;4;7;64;289;43;31;20;54;46;13;31;4;1;635
136;Rescate Vehicular 10-4;2015;Julio;7;12;42;57;27;29;139;366;75;113;65;156;92;34;63;20;16;1306
137;Haz-Mat 10-5;2015;Julio;7;2;0;2;1;1;4;11;1;2;4;10;6;0;15;2;2;63
138;Gas 10-6;2015;Julio;7;2;15;10;8;6;39;158;28;16;7;44;40;11;25;3;9;421
139;Eléctrico 10-7;2015;Julio;7;2;2;4;3;4;16;129;6;9;6;6;8;4;9;0;1;209
140;No Clasificado 10-8;2015;Julio;7;3;3;7;8;5;60;72;23;70;14;150;20;22;33;9;1;500
141;Otros Servicios 10-9;2015;Julio;7;6;46;17;65;57;187;180;229;57;30;52;98;82;319;9;28;1462
142;Escombros 10-10;2015;Julio;7;4;0;2;1;0;11;7;3;5;0;5;3;2;10;1;0;54
143;Servicio Aéreo 10-11;2015;Julio;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
144;Apoyo a otros Cuerpos 10-12;2015;Julio;7;0;7;2;1;0;9;38;14;3;1;7;4;4;4;0;0;94
145;Atentados Terroristas 10-13;2015;Julio;7;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3
146;Accidentes Aéreos 10-14;2015;Julio;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
147;Simulacro 10-15;2015;Julio;7;0;1;1;2;0;4;5;3;2;2;3;6;6;6;1;0;42
148;Túnel 10-16;2015;Julio;7;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;3
149;Falsa Alarma 6-16;2015;Julio;7;0;3;0;0;4;7;17;1;2;6;4;2;0;6;0;0;52
150;Inundación 10-17;2015;Julio;7;0;0;0;0;9;11;2;0;3;15;18;1;2;2;0;0;63
151;Emergencia Marítima Portuaria 10-18;2015;Julio;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
152;Incendio 10-30;2015;Julio;7;0;0;4;0;0;0;10;0;0;0;0;1;0;9;0;0;24
153;Emergencia Metro de Santiago 10-19;2015;Julio;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;Estructural 10-0;2015;Agosto;8;5;43;24;12;25;70;173;73;83;53;176;120;46;145;17;24;1089
155;Vehículos 10-1;2015;Agosto;8;5;10;9;6;12;31;49;12;19;3;20;14;4;15;1;4;214
156;Pastizales y/o Basura 10-2;2015;Agosto;8;10;12;57;26;35;112;143;54;25;2;15;12;4;58;13;1;579
157;Rescate de Emergencia 10-3;2015;Agosto;8;11;11;14;6;10;70;272;43;28;21;74;39;13;33;1;0;646
158;Rescate Vehicular 10-4;2015;Agosto;8;6;33;32;33;34;149;292;87;87;37;171;87;22;51;28;7;1156
159;Haz-Mat 10-5;2015;Agosto;8;0;0;1;0;2;11;7;5;1;2;22;3;0;16;0;0;70
160;Gas 10-6;2015;Agosto;8;4;7;15;9;7;61;150;29;23;5;72;44;13;32;5;6;482
161;Eléctrico 10-7;2015;Agosto;8;2;6;10;3;15;26;130;7;17;2;8;6;1;8;2;2;245
162;No Clasificado 10-8;2015;Agosto;8;1;11;10;4;98;336;103;106;159;30;232;22;15;21;14;9;1171
